sample_id,form,feature,feature_value,conc_mg_ml,amount_mg_per_gDW
2E,total,lambda_max_nm,383.9,0.0568523429551786,0.7787992185640907
2G,total,lambda_max_nm,344.9,0.0399507718481739,0.4932194055330111
2I,total,lambda_max_nm,320.9,0.0558644951558357,0.6421206339751239
2J,total,lambda_max_nm,368.9,0.0650363374971796,1.0005590384181482
3A,total,lambda_max_nm,320.9,0.0418687829038322,0.9736926256705184
3C,total,lambda_max_nm,386.9,0.079846843919444,1.0790114043168109
3D,total,lambda_max_nm,381.9,0.0866608305645461,1.255954066152843
3E,total,lambda_max_nm,320.9,0.0440031109958431,0.5500388874480391
3H,total,lambda_max_nm,320.9,0.0470099178011421,0.9040368807911956
4A,total,lambda_max_nm,320.9,0.0364031724519937,0.5200453207427675
4B,total,lambda_max_nm,320.9,0.0615464226440267,0.8668510231553068
4F,total,lambda_max_nm,320.9,0.0647046513747725,0.8088081421846567
4G,total,lambda_max_nm,384.9,0.0643152807093381,1.0373432372473892
4H,total,lambda_max_nm,320.9,0.0395614011827395,0.5651628740391357
5B,total,lambda_max_nm,320.9,0.0489207182889221,0.7194223277782666
5D,total,lambda_max_nm,320.9,0.0538815889892716,0.7483554026287729
5E,total,lambda_max_nm,320.9,0.0428854729746887,0.5428540882871999
5F,total,lambda_max_nm,320.9,0.0664423982334705,0.9770940916686844
5I,total,lambda_max_nm,320.9,0.0292791313881197,0.5048126101399952
6C,total,lambda_max_nm,320.9,0.0403329319457299,0.5450396208882419
6D,total,lambda_max_nm,320.9,0.0676681947728011,0.9530731658141
6F,total,lambda_max_nm,320.9,0.0092986477970318,0.1207616597017118
6H,total,lambda_max_nm,320.9,0.0071571091371425,0.1555893290683165
6J,total,lambda_max_nm,320.9,0.0,0.0
1D,total,centroid_nm,402.1221250028044,0.0596860961313957,0.9947682688565952
1F,total,centroid_nm,391.65864226497735,0.0776043573092569,0.8255782692474143
1G,total,centroid_nm,390.6918487782648,0.0585900898138766,0.723334442146625
1I,total,centroid_nm,396.6200132939573,0.0293800793384175,0.3970280991678045
1J,total,centroid_nm,384.44928757451015,0.0756142405748144,0.94517800718518
2B,total,centroid_nm,392.1124976532316,0.1010314923462272,1.2628936543278404
2E,total,centroid_nm,393.62596601229984,0.0568523429551786,0.7787992185640907
2G,total,centroid_nm,386.32545339823946,0.0399507718481739,0.4932194055330111
2I,total,centroid_nm,389.2166728858786,0.0558644951558357,0.6421206339751239
2J,total,centroid_nm,391.2470172316156,0.0650363374971796,1.0005590384181482
3A,total,centroid_nm,389.5822702781288,0.0418687829038322,0.9736926256705184
3C,total,centroid_nm,396.71346323149936,0.079846843919444,1.0790114043168109
